Time (EET),Open,High,Low,Close,Volume
2025.11.03 05:45:00,4010.575,4011.685,4010.575,4011.665,13560.0
2025.11.03 05:46:00,4011.645,4012.305,4011.375,4011.405,14500.0
2025.11.03 05:47:00,4011.385,4012.695,4011.135,4012.135,13830.0
2025.11.03 05:48:00,4012.105,4012.435,4011.825,4012.115,8490.0
2025.11.03 05:49:00,4012.135,4012.815,4012.115,4012.755,8160.000000000001
2025.11.03 05:50:00,4012.345,4013.345,4012.335,4012.925,13890.0
2025.11.03 05:51:00,4012.905,4013.055,4012.575,4012.875,8370.0
2025.11.03 05:52:00,4012.855,4012.855,4011.405,4011.405,8890.0
2025.11.03 05:53:00,4011.385,4012.575,4011.135,4012.065,6210.0
2025.11.03 05:54:00,4012.085,4013.735,4012.005,4013.305,15060.0
2025.11.03 05:55:00,4013.335,4013.335,4012.205,4012.885,17070.0
2025.11.03 05:56:00,4012.865,4014.235,4012.745,4014.155,21620.0
2025.11.03 05:57:00,4014.195,4015.145,4013.415,4013.995,36020.0
2025.11.03 05:58:00,4013.835,4014.035,4013.045,4013.435,44360.0
2025.11.03 05:59:00,4013.465,4013.805,4011.065,4011.065,22850.0
2025.11.03 06:00:00,4011.055,4013.035,4009.575,4012.625,23540.0
2025.11.03 06:01:00,4012.605,4013.175,4011.885,4012.055,19990.0
2025.11.03 06:02:00,4012.015,4012.375,4011.125,4011.745,11590.0
2025.11.03 06:03:00,4011.725,4011.725,4009.325,4009.405,21390.0
2025.11.03 06:04:00,4009.375,4009.495,4007.155,4007.625,23580.0
2025.11.03 06:05:00,4007.745,4008.515,4006.575,4006.795,26880.0
2025.11.03 06:06:00,4006.855,4008.075,4006.855,4007.725,18120.0
2025.11.03 06:07:00,4007.745,4011.535,4007.745,4011.445,34920.0
2025.11.03 06:08:00,4011.475,4011.935,4009.995,4011.645,21620.0
2025.11.03 06:09:00,4011.665,4014.115,4011.225,4013.045,36350.0
2025.11.03 06:10:00,4013.015,4013.795,4011.225,4011.565,28210.0
2025.11.03 06:11:00,4011.505,4011.635,4010.185,4010.525,20280.0
2025.11.03 06:12:00,4010.495,4010.785,4009.105,4009.275,24610.0
2025.11.03 06:13:00,4009.245,4010.245,4009.245,4009.655,10410.0
2025.11.03 06:14:00,4009.675,4009.715,4009.045,4009.435,6820.0
2025.11.03 06:15:00,4009.385,4009.575,4007.955,4008.205,18680.0
2025.11.03 06:16:00,4008.185,4008.535,4007.685,4007.855,11950.0
2025.11.03 06:17:00,4007.815,4008.095,4006.825,4006.865,16420.0
2025.11.03 06:18:00,4006.915,4007.265,4005.505,4005.775,20910.0
2025.11.03 06:19:00,4005.815,4005.895,4004.765,4005.115,23190.0
2025.11.03 06:20:00,4005.145,4006.445,4005.125,4006.205,19050.0
2025.11.03 06:21:00,4006.315,4007.065,4006.255,4006.335,14820.0
2025.11.03 06:22:00,4006.305,4006.765,4005.045,4005.225,27630.0
2025.11.03 06:23:00,4005.265,4005.685,4004.765,4004.945,18810.0
2025.11.03 06:24:00,4004.995,4004.995,4003.035,4003.805,25980.0
2025.11.03 06:25:00,4003.795,4004.435,4002.915,4003.315,14640.0
2025.11.03 06:26:00,4003.345,4003.655,4002.655,4002.945,10320.0
2025.11.03 06:27:00,4002.865,4002.865,4001.615,4001.985,44010.0
2025.11.03 06:28:00,4001.985,4004.395,4001.815,4003.935,22000.0
2025.11.03 06:29:00,4003.975,4005.425,4003.905,4005.235,24330.0
2025.11.03 06:30:00,4005.205,4005.525,4004.045,4004.075,16560.0
2025.11.03 06:31:00,4004.365,4004.985,4002.345,4003.745,13650.0
2025.11.03 06:32:00,4003.675,4005.095,4003.675,4005.065,16920.0
